# x	y	u	v	flags	mask
2.4347e+00	2.8699e+00	3.8607e-02	-5.3746e-01	1.0000e+00	0.0000e+00
2.6523e+00	2.8699e+00	5.0534e-01	-2.7832e+00	0.0000e+00	0.0000e+00
2.8699e+00	2.8699e+00	1.4910e-01	-2.1625e+00	0.0000e+00	0.0000e+00
3.0874e+00	2.8699e+00	9.5539e-02	-1.7224e+00	0.0000e+00	0.0000e+00
3.3050e+00	2.8699e+00	5.2455e-02	-1.3774e+00	0.0000e+00	0.0000e+00
3.5226e+00	2.8699e+00	4.7183e-02	-1.1782e+00	0.0000e+00	0.0000e+00
3.7402e+00	2.8699e+00	1.9494e-02	-1.0273e+00	0.0000e+00	0.0000e+00
3.9577e+00	2.8699e+00	1.4955e-02	-9.2888e-01	0.0000e+00	0.0000e+00
4.1753e+00	2.8699e+00	3.5863e-02	-8.4488e-01	0.0000e+00	0.0000e+00
4.3929e+00	2.8699e+00	9.1128e-03	-7.2614e-01	0.0000e+00	0.0000e+00
4.6104e+00	2.8699e+00	-1.3372e-02	-6.6889e-01	0.0000e+00	0.0000e+00
4.8280e+00	2.8699e+00	-5.8284e-03	-6.1481e-01	0.0000e+00	0.0000e+00
5.0456e+00	2.8699e+00	-1.6251e-02	-5.8279e-01	0.0000e+00	0.0000e+00
2.5901e-01	2.6523e+00	-4.0285e-02	9.1092e-01	0.0000e+00	0.0000e+00
4.7659e-01	2.6523e+00	-2.3892e-02	1.0193e+00	0.0000e+00	0.0000e+00
6.9416e-01	2.6523e+00	-5.2896e-02	1.1639e+00	0.0000e+00	0.0000e+00
9.1173e-01	2.6523e+00	-1.1344e-01	1.4110e+00	0.0000e+00	0.0000e+00
1.1293e+00	2.6523e+00	-1.5107e-01	1.6315e+00	0.0000e+00	0.0000e+00
1.3469e+00	2.6523e+00	-3.0463e-01	1.9987e+00	0.0000e+00	0.0000e+00
1.5644e+00	2.6523e+00	-2.4370e-01	1.2557e+00	1.0000e+00	0.0000e+00
1.7820e+00	2.6523e+00	-7.5344e-01	3.6017e+00	0.0000e+00	0.0000e+00
1.9996e+00	2.6523e+00	-3.6313e-01	3.9145e-01	1.0000e+00	0.0000e+00
2.2172e+00	2.6523e+00	-3.9930e-01	-9.5162e-02	1.0000e+00	0.0000e+00
2.4347e+00	2.6523e+00	-4.1501e-01	-5.5189e-01	1.0000e+00	0.0000e+00
2.6523e+00	2.6523e+00	-9.4157e-01	-2.9547e+00	0.0000e+00	0.0000e+00
2.8699e+00	2.6523e+00	-4.0069e-01	-2.1243e+00	0.0000e+00	0.0000e+00
3.0874e+00	2.6523e+00	-2.7739e-01	-1.7505e+00	0.0000e+00	0.0000e+00
3.3050e+00	2.6523e+00	-1.9550e-01	-1.4652e+00	0.0000e+00	0.0000e+00
3.5226e+00	2.6523e+00	-8.4635e-02	-1.1979e+00	0.0000e+00	0.0000e+00
3.7402e+00	2.6523e+00	-8.6260e-02	-1.0386e+00	0.0000e+00	0.0000e+00
3.9577e+00	2.6523e+00	-6.1525e-02	-9.6494e-01	0.0000e+00	0.0000e+00
4.1753e+00	2.6523e+00	-5.1318e-02	-8.5692e-01	0.0000e+00	0.0000e+00
4.3929e+00	2.6523e+00	-6.8411e-02	-7.5310e-01	0.0000e+00	0.0000e+00
4.6104e+00	2.6523e+00	-4.9687e-02	-6.7009e-01	0.0000e+00	0.0000e+00
4.8280e+00	2.6523e+00	-5.2301e-02	-6.2553e-01	0.0000e+00	0.0000e+00
5.0456e+00	2.6523e+00	-4.3271e-02	-5.8881e-01	0.0000e+00	0.0000e+00
2.5901e-01	2.4347e+00	-1.2165e-01	8.8111e-01	0.0000e+00	0.0000e+00
4.7659e-01	2.4347e+00	-1.6708e-01	9.4364e-01	0.0000e+00	0.0000e+00
6.9416e-01	2.4347e+00	-2.4702e-01	1.0563e+00	0.0000e+00	0.0000e+00
9.1173e-01	2.4347e+00	-3.3498e-01	1.2547e+00	0.0000e+00	0.0000e+00
1.1293e+00	2.4347e+00	-4.3597e-01	1.4666e+00	0.0000e+00	0.0000e+00
1.3469e+00	2.4347e+00	-5.4499e-01	1.3546e+00	1.0000e+00	0.0000e+00
1.5644e+00	2.4347e+00	-1.1553e+00	1.8792e+00	0.0000e+00	0.0000e+00
1.7820e+00	2.4347e+00	-2.2192e+00	2.0968e+00	0.0000e+00	0.0000e+00
1.9996e+00	2.4347e+00	-8.6514e-01	3.6776e-01	1.0000e+00	0.0000e+00
